Designator,Mid X,Mid Y,Rotation,Layer
J1,57.130254,-26.007718,180.0,top
J10,38.098391,-36.828927,0.0,top
J11,38.098391,-46.988927,0.0,top
J12,45.083391,-21.588927,0.0,top
J13,45.083391,-31.748927,0.0,top
J14,45.083391,-41.908927,0.0,top
J15,45.083391,-52.068927,0.0,top
J16,52.068391,-36.828927,0.0,top
J17,52.068391,-46.988927,0.0,top
J18,66.802,-26.67,0.0,top
J19,66.802,-36.83,0.0,top
J2,24.128391,-26.668927,0.0,top
J20,66.802,-46.99,0.0,top
J21,73.787,-21.59,0.0,top
J22,73.787,-31.75,0.0,top
J23,73.787,-41.91,0.0,top
J24,80.772,-26.67,0.0,top
J25,80.772,-36.83,0.0,top
J3,24.128391,-36.828927,0.0,top
J4,24.128391,-46.988927,0.0,top
J5,31.113391,-21.588927,0.0,top
J6,31.113391,-31.748927,0.0,top
J7,31.113391,-41.908927,0.0,top
J8,31.113391,-52.068927,0.0,top
J9,38.098391,-26.668927,0.0,top
