Designator,Mid X,Mid Y,Rotation,Layer
C1,76.67,-34.014,0.0,top
C2,76.67,-32.474,0.0,top
C3,86.83,-34.014,0.0,top
C4,86.83,-32.474,0.0,top
D1,28.1305,-43.904,0.0,top
D10,42.38,-51.27,0.0,top
D11,45.936,-43.904,0.0,top
D12,45.936,-51.27,0.0,top
D13,49.492,-43.904,0.0,top
D14,49.492,-51.27,0.0,top
D15,53.048,-43.904,0.0,top
D16,53.048,-51.27,0.0,top
D17,70.828,-60.43,90.0,top
D18,73.368,-60.43,90.0,top
D19,75.908,-60.43,90.0,top
D2,28.156,-51.27,0.0,top
D20,78.448,-60.43,90.0,top
D21,80.988,-60.43,90.0,top
D22,83.528,-60.43,90.0,top
D23,86.068,-60.43,90.0,top
D24,88.608,-60.43,90.0,top
D3,31.6865,-43.904,0.0,top
D4,31.712,-51.27,0.0,top
D5,35.268,-43.904,0.0,top
D6,35.268,-51.27,0.0,top
D7,38.824,-43.904,0.0,top
D8,38.824,-51.27,0.0,top
D9,42.38,-43.904,0.0,top
R1,28.1305,-42.126,0.0,top
R10,31.6865,-47.46,180.0,top
R11,31.712,-49.492,0.0,top
R12,31.712,-53.048,0.0,top
R13,31.712,-54.826,180.0,top
R14,35.268,-42.126,0.0,top
R15,35.268,-45.682,0.0,top
R16,35.268,-47.46,180.0,top
R17,35.268,-49.492,0.0,top
R18,35.268,-53.048,0.0,top
R19,35.268,-54.826,180.0,top
R2,28.1305,-45.682,0.0,top
R20,38.824,-42.126,0.0,top
R21,38.824,-45.682,0.0,top
R22,38.824,-47.46,180.0,top
R23,38.824,-49.492,0.0,top
R24,38.824,-53.048,0.0,top
R25,38.824,-54.826,180.0,top
R26,42.38,-42.126,0.0,top
R27,42.38,-45.682,0.0,top
R28,42.38,-47.46,180.0,top
R29,42.38,-49.492,0.0,top
R3,28.1305,-47.46,180.0,top
R30,42.38,-53.048,0.0,top
R31,42.38,-54.826,180.0,top
R32,45.936,-42.126,0.0,top
R33,45.936,-45.682,0.0,top
R34,45.936,-47.46,180.0,top
R35,45.936,-49.492,0.0,top
R36,45.936,-53.048,0.0,top
R37,45.936,-54.826,180.0,top
R38,49.492,-42.126,0.0,top
R39,49.492,-45.682,0.0,top
R4,63.779,-38.443,180.0,top
R40,49.492,-47.46,180.0,top
R41,49.492,-49.492,0.0,top
R42,49.492,-53.048,0.0,top
R43,49.492,-54.826,180.0,top
R44,53.048,-42.126,0.0,top
R45,53.048,-45.682,0.0,top
R46,53.048,-47.46,180.0,top
R47,53.048,-49.492,0.0,top
R48,53.048,-53.048,0.0,top
R49,53.048,-54.826,180.0,top
R5,28.156,-49.492,0.0,top
R50,60.3754,-39.332,180.0,top
R51,63.779,-40.1956,180.0,top
R52,60.3754,-41.11,180.0,top
R53,63.779,-34.887,180.0,top
R54,60.3754,-35.776,180.0,top
R55,63.779,-36.665,180.0,top
R56,60.3754,-37.554,180.0,top
R57,71.59,-40.789802,270.0,top
R58,70.828,-53.889,270.0,top
R59,70.828,-57.128,270.0,top
R6,28.156,-53.048,0.0,top
R60,73.368,-57.128,270.0,top
R61,73.368,-53.826,270.0,top
R62,73.622,-40.789802,270.0,top
R63,78.448,-57.128,270.0,top
R64,78.448,-53.826,270.0,top
R65,77.686,-40.789802,270.0,top
R66,75.908,-57.128,270.0,top
R67,75.908,-53.826,270.0,top
R68,75.654,-40.789802,270.0,top
R69,70.828,-63.732,270.0,top
R7,28.156,-54.826,180.0,top
R70,73.368,-63.732,270.0,top
R71,75.908,-63.732,270.0,top
R72,78.448,-63.732,270.0,top
R73,82.766,-34.014,0.0,top
R74,82.766,-32.474,180.0,top
R75,72.669,-32.474,180.0,top
R76,80.988,-57.128,270.0,top
R77,80.988,-53.826,270.0,top
R78,81.75,-40.789802,270.0,top
R79,83.782,-40.789802,270.0,top
R8,31.6865,-42.126,0.0,top
R80,83.528,-53.826,270.0,top
R81,83.528,-57.128,270.0,top
R82,72.669,-34.014,0.0,top
R83,88.608,-57.128,270.0,top
R84,88.608,-53.826,270.0,top
R85,87.846,-40.789802,270.0,top
R86,85.814,-40.789802,270.0,top
R87,86.068,-53.826,270.0,top
R88,86.068,-57.128,270.0,top
R89,80.988,-63.732,270.0,top
R9,31.6865,-45.682,0.0,top
R90,83.528,-63.732,270.0,top
R91,86.068,-63.732,270.0,top
R92,88.608,-63.732,270.0,top
U1,33.482,-36.142,0.0,top
U2,74.638,-47.393802,0.0,top
U3,47.5536,-36.142,0.0,top
U4,74.638,-37.062,0.0,top
U5,84.798,-37.062,0.0,top
U6,84.798,-47.393802,0.0,top
